"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,59998,0,87,0,0,0,0,-13,0
1,20,62500,60413,0,91,0,0,0,0,4.59770114942529,0
1,30,62500,60153,0,118,0,0,0,0,29.6703296703297,0
1,40,62500,59593,0,138,0,0,0,0,16.9491525423729,0
1,50,62500,59062,0,161,0,0,0,0,16.6666666666667,0
1,60,62500,58459,0,188,0,0,0,0,16.7701863354037,0
1,70,62500,57805,0,231,0,0,0,0,22.8723404255319,0
1,80,62500,56723,0,278,0,0,0,0,20.3463203463203,0
1,90,62500,55482,0,348,0,0,0,0,25.1798561151079,0
1,100,62500,53780,0,415,0,0,0,0,19.2528735632184,0
1,110,62500,52310,0,488,0,0,0,0,17.5903614457831,0
1,120,62500,50128,0,592,0,0,0,0,21.3114754098361,0
1,130,62500,47649,0,714,0,0,0,0,20.6081081081081,0
1,140,62500,44817,0,887,0,0,0,0,24.2296918767507,0
1,150,62500,40280,0,1083,0,0,0,0,22.0969560315671,0
1,160,62500,35188,0,1257,0,0,0,0,16.0664819944598,0
1,170,62500,31260,0,1566,0,0,0,0,24.582338902148,0
1,180,62500,24343,0,1825,0,0,0,0,16.5389527458493,0
1,190,62500,18646,0,2098,0,0,0,0,14.958904109589,0
1,200,62500,13571,0,2400,0,0,0,0,14.3946615824595,0
1,210,62500,8985,0,2531,0,0,0,0,5.45833333333333,0
1,220,62500,7650,0,2627,0,0,0,0,3.79296720663769,0
1,230,62500,6686,0,2697,0,0,0,0,2.66463646745337,0
1,240,62500,5261,0,2725,0,0,0,0,1.03819058212829,0
1,250,62500,4801,0,2734,0,0,0,0,0.330275229357798,0
1,260,62500,4990,0,2704,0,0,0,0,-1.09729334308705,0
1,270,62500,5403,0,2657,0,0,0,0,-1.73816568047337,0
1,280,62500,6257,0,2649,0,0,0,0,-0.301091456529921,0
1,290,62500,6883,0,2644,0,0,0,0,-0.18875047187618,0
1,300,62500,5676,0,2677,0,0,0,0,1.24810892586989,0
1,310,62500,6273,0,2545,0,22,31,0,-4.93089279043706,0
1,320,62500,7167,0,2543,0,4,19,0,-0.0785854616895874,-38.7096774193548
1,330,62500,7489,0,2609,0,5,11,0,2.59535981124656,-42.1052631578947
1,340,62500,6739,0,2636,0,2,4,0,1.03487926408586,-63.6363636363636
1,350,62500,6367,0,2708,0,1,3,0,2.73141122913505,-25
1,360,62500,4823,0,2717,0,0,2,0,0.332348596750369,-33.3333333333333
1,370,62500,5107,0,2623,0,0,1,0,-3.4596981965403,-50
1,380,62500,5674,0,2724,0,0,1,0,3.85055280213496,0
1,390,62500,4665,0,2714,0,1,0,0,-0.367107195301028,-100
1,400,62500,4879,0,2740,0,0,0,0,0.957995578481945,0
1,410,62500,5329,0,2673,0,0,0,0,-2.44525547445255,0
1,420,62500,5362,0,2721,0,0,0,0,1.79573512906846,0
1,430,62500,5607,0,2693,0,0,0,0,-1.02903344358692,0
1,440,62500,5096,0,2715,0,0,0,0,0.816932788711474,0
1,450,62500,5135,0,2686,0,0,0,0,-1.06813996316759,0
1,460,62500,5502,0,2689,0,0,0,0,0.111690245718541,0
1,470,62500,4907,0,2723,0,0,0,0,1.26441056154704,0
1,480,62500,4945,0,2713,0,0,0,0,-0.367242012486228,0
1,490,62500,5147,0,2718,0,0,0,0,0.184297825285662,0
1,500,62500,5532,0,2680,0,0,0,0,-1.3980868285504,0
1,510,62500,5572,0,2706,0,0,0,0,0.970149253731343,0
1,520,62500,6110,0,2670,0,0,0,0,-1.33037694013304,0
1,530,62500,5706,0,2694,0,0,0,0,0.898876404494382,0
1,540,62500,5515,0,2671,0,0,0,0,-0.853749072011878,0
